,Judul Berita,Isi Berita,Kelas Berita
11,"Prabowo Sebut Unggul di Situs Resmi, KPU: 1 Persen Saja Belum","Liputan6.com, Jakarta - Komisi Pemilihan Umum (KPU) menegaskan proses penghitungan suara di situs resmi atau situs pemilu2019.kpu.go.id belum final. Hingga pukul 23.00 WIB, suara yang masuk baru 0,02225 persen. Situs resmi Pemilu 2019 itu mencatat keunggulan 55,27 persen sementara Prabowo Subianto-Sandiaga, sementara Joko Widodo-Ma'ruf Amin 44,73 persen. ""Kalau misalnya berkembang screenshot salah satu paslon, itu yang penting itu belum hasil final. Bahkan 1 persen saja belum,"" kata Viryan di Hotel Ritz Carlton, Jakarta, Rabu (17/4/2019). Viryan menegaskan, hasil yang tertera saat ini belum mencerminkan hasil final. Sebab, hingga saat ini suara yang masuk masih kurang dari 1 persen dari total 813.350 TPS yang ada di Indonesia. Ditemui terpisah, Komisioner KPU Pramono Ubaid Tanthowi menyebut penghitungan suara akan terus berlanjut. Pram menyampaikan urutan hitung, yakni setelah form C1 selesai dicatat, petugas TPS akan membuat beberapa salinan. Salah satu salinan dibawa ke Kantor KPU kota/kabupaten untuk dipindai, lalu dikirim ke pusat untuk ditayangkan dalam situs resmi. ""Situs itu kan berbasis C1 yang di-scan.Â Dan itu harus menunggu proses penghitungan suara di TPS selesai,"" ujarnya. KPU kembali menegaskan data penghitungan suara di situs pemilu2019.kpu.go.id resmi dari KPU. Namun, KPU tak akan menetapkan hasil Pemilu 2019 akhir dari hasil di situs tersebut. KPU akan menetapkan hasil pemilu dari penghitungan suara secara fisik atau manual. Mereka akan merekapitulasi surat suara dari tingkat TPS hingga tingkat nasional pada rentang 17 April-22 Mei 2019.",Negatif
12,"Ralat Tudingan, Hasto Sebut Oknum Bawaslu yang Berpihak","Jakarta, CNN Indonesia -- Sekretaris Jenderal Partai Demokrasi Indonesia Perjuangan (PDIP), Hasto Kristiyanto mengklarifikasi ucapannya bahwa penyelenggara pemilu yang diduga berpihak adalah oknum komisioner Badan Pengawasan Pemilu (Bawaslu).""Yang saya maksudkan bukan Komisi Pemilihan Umum, (tapi) Bawaslu,"" ujar Hasto di Posko Cemara, Jakarta, Rabu (16/4).Meski menyebut oknum Bawaslu, Hasto enggan merinci siapa oknum Bawaslu yang diduga berpihak. Hasto berkata pihaknya masih mengkaji dugaan tersebut. Ia juga tidak menyebutkan komisioner Bawaslu dimaksud ada di tingkatan mana, pusat atau daerah.  Sebelumnya, Hasto mengingatkan penyelenggara pemilu untuk tidak menyalahgunakan hak dan kewenangannya. Jika hal itu terjadi, Hasto menegaskan pihaknya tak segan melaporkannya ke Dewan Kehormatan Penyelenggaraan Pemilu (DKPP).Hasto menyebut salah satu komisioner Komisi Pemilihan Umum (KPU) terindikasi memiliki orientasi politik kepada pasangan calon (paslon) tertentu di Pemilu 2019.Di sisi lain, Hasto menyampaikan pihaknya optimistis pasangan calon 01 Jokowi-Ma'ruf Amin minimal bakal memperoleh 59,8 persen pada Pilpres 2019. Persentase itu, klaim Hasto, sejalan dengan banyak hasil survei selama ini.""Itu belum dampak dari debat terakhir dan juga rapat umum rakyat yang dihadiri dengan antusiasme yang luar biasa. Belum pernah terjadi dalam sejarah demokrasi kita maka kami meyakini akan naik di atas 58 persen itu,"" ujarnya.Diketahui Bawaslu RI periode 2017-2022 dipimpin oleh Abhan dan empat anggota. Keempatnya, yakni Ratna Dewi Pettalolo, Mochammad Afifuddin, Rahmat Bagja, dan Fritz Edward Siregar.",Negatif
13,Pesan Politik SBY Jelang Pemungutan Suara Pemilu 2019,"Jakarta, CNN Indonesia -- Presiden keenam Republik Indonesia, Susilo Bambang YudhoyonoÂ (SBY) memberikan pesan politik kepada seluruh masyarakat Indonesia dan kader partainya jelang hari pemungutan suara Pemilu 2019.Ketua Umum Partai Demokrat ini berharap Pemilu 2019 dapat menjadi sarana yang membawa Indonesia menjadi negara yang lebih baik. SBY juga berharap bangsa Indonesi tetap bersatu untuk bersama mewujudkan cita-cita.""Insya Allah beberapa saat lagi pemungutan suara akan dilaksanakan. Semoga melalui pemilu 2019 ini masa depan Indonesia bertambah baik dan semoga bangsa Indonesia tetap bersatu untuk bersama-sama mewujudkan cita-cita kita,"" kata SBY dalam video yang dikirimkan Wasekjen Partai Demokrat Rachland Nashidik kepada CNNIndonesia.com, Selasa (16/4).  Ia pun berharap, Pemilu 2019 dapat berlangsung secara damai, jujur, dan adil sesuai amanah konstitusi.SBY kemudian meminta masyarakat Indonesia, khususnya kader Partai Demokrat untuk menggunakan hak pilih dan tidak menjadi golongan putih alias golput.Ia berpesan, kader Demokrat agar ikut aktif untuk menyukseskan Pemilu 2019 agar benar-benar berlangsung secara damai, jujur dan adil.Â Pesan itu disampaikan SBY setelah mengaku banyak mendengar berita dan rumor yang beredar kalau Pemilu 2019 berlangsung tidak jujur dan khawatir kalau Pemilu 2019 tidak damai.SBY juga meminta kader Demokrat tidak ikut-ikutan menyebarkan berita yang belum tentu benar dan hanya akan meresahkan masyarakat.""Lebih baik para kader Demokrat aktif dan berdiri di depan untuk memastikan pemilu ini terselenggara dengan baik dan benar sesuai konsitusi dan undang-undang yang berlaku,"" katanya.""Dan demi rakyat, ikutlah mencegah hal-hal yang tidak baik termasuk terganggunya kedamaian, kerukunan, dan persatuan bangsa,"" imbuh SBY.Lebih jauh, SBY berkata bahwa dirinya tidak bisa berperan aktif dalam Pemilu 2019 di Indonesia seperti pemilu sebelumnya karena masih mendampingi istri Ani Yudhoyono yang tengah sakit di Singapura.SBY pun mendoakan semoga Allah SWT bersama seluruh masyarakat dan bangsa Indonesia.",Positif
14,"BPN: Sandiaga Cegukan Nggak Putus-putus, Sedang Istirahat","Cawapres  tidak terlihat saat Prabowo Subianto berpidato soal keunggulannya berdasarkan real count internal. Tim Sandiaga mengatakan, mantan Wagub DKI itu sedang sakit.""Pak Sandiaga itu dari sore dia nggak enak badan jadi sampai sekarang cegukan terus, itu sampai sekarang nggak putus-putus. Dia istirahat di dalam (kediaman Prabowo),"" ujar Tim Sandiaga, Yuga Aden, saat dihubungi, Rabu (17/4/2019).  Yuga mengatakan, Prabowo sempat khawatir dengan kondisi cawapresnya itu.""Tadi Pak Prabowo juga nyamperin, 'are you oke mister vice president?' Disamperin sama Pak Prabowo, sampai sekarang masih sakit,"" ujarnya.Penuturan Yuga, Sandiaga sudah mengalami penurunan kondisi kesehatan ketika mengisi kegiatan di Media Center Jl Sriwijaya, Jaksel. Hingga kini, tubuh Sandiaga disebutkan masih sakit.""Dari siang yang nyanyi itu, suhu badan agak panas. Cuma butuh istirahat sebentar udah okey,"" ujarnya.",Positif
15,BPN Sebut KPU Pulihkan 944 Ribu DPT Bermasalah,"Jakarta, CNN Indonesia -- Badan Pemenangan Nasional (BPN) Prabowo Subianto dan Sandiaga Uno menyebut Komisi Pemilihan Umum (KPU) baru berhasil memperbaiki data 944 ribu dari 17,5 juta daftar pemilih tetap (DPT) bermasalah.""Kami apresiasi kerja KPU yang sudah menyisir data tidak wajar. Hasilnya sementara dari KPU ada 944.164 data pemilih yang dilakukan perbaikan,"" ujar Juru Bicara Debat BPN Ahmad Riza Patria di Jakarta, Minggu (14/4).Menurut Riza, dari hasil pertemuannya dengan KPU, mereka menyebut 470.331 data bermasalah juga akan dihapus permanen.  ""Yang dicoret itu karena ganda atau orangnya udah meninggal dan lainnya. Dan yang diperbaiki ada kesalahan penulisan diperbaiki. Jadi poin kami dengan maksud baik agar lebih bersih dan demokrasi lebih baik,"" ucapnya.Dengan waktu tersisa atau tidak sampai dua hari menuju Pemilihan Presiden (Pilpres) pada 17 April 2019, kata Riza, KPU masih akan membersihkan data-data bermasalah sesuai rekomendasi BPN.""Dengan waktu yang tersisa kami sepakati dengan Bawaslu dan KPU kalau ditemukan nanti ada kekeliruan KPU akan menerima dan sama-sama diperbaiki sampai pemungutan suara, tetap dimungkinkan perbaikan. KPU memberi ruang,"" kata Riza.Menurut penelusuran BPN, terdapat DPT bermasalah yang jumlahnya mencapai 17,5 juta karena memiliki kesamaan tanggal lahir.Jika diurai, dari 17,5 juta DPT sebanyak 9,81 juta orang memiliki tanggal lahir 1 Juli, 5,37 juta orang bertanggal lahir 31 Desember, dan 2,36 juta orang lainnya mempunyai tanggal lahir 1 Januari. Kejanggalan inilah yang coba ditelusuri BPN sejak Desember tahun lalu.Nama-nama dengan tanggal lahir yang sama ini juga sudah terdaftar di berbagai Tempat Pemungutan Suara (TPS) di Pulau Jawa. Data BPN menyebutkan sebanyak 19.427 TPS menampung DPT yang memiliki tanggal lahir sama itu.""Jadi untuk areanya kami tidak bisa sebutkan basis 01 atau 02. Tapi areanya KPU tau Bawaslu tau ada area rawan terjadi kecurangan, tapi kami tidak bisa sebutkan daerahnya. Ini juga akan kami perbaiki,"" kata Riza.Sementara itu Direktur Komunikasi dan Media BPN Prabowo-Sandi, Hashim Djojohadikusumo menyampaikan bahwa data untuk DPT 2019 yang benar yaitu 190 juta di Indonesia dan 2 juta luar negeri.Oleh karena itu, Hashim mendorong penuh agar KPU cepat memperbaiki datanya. Hashim mengaku tidak mencurigai kubu lawan untuk kasus ini, namun jika kemenangan jatuh pada kubunya nanti dikhawatirkan dapat memicu polemik baru.""Kalau kami menang, jangan sampai kami dipermasalahkan karena angka ini,"" kata adik Prabowo ini.",Positif
16,Dahlan Iskan Dukung Prabowo-Sandiaga,"Liputan6.com, Jakarta Mantan Menteri BUMN Dahlan Iskan mendukung Capres Prabowo Subianto di Pilpres 2019. Dukungan itu diberikan Dahlan saat menghadiri pidato kebangsaan Prabowo di Dyandra Convention Hall, Surabaya, Jawa Timur, Jumat (12/4/2019). Dukungan Dahlan untuk Prabowo lantaran pertumbuhan ekonomi Indonesia tidak tercapai. Salah satunya, pendapatan perkapita rakyat Indonesia yang belum mencapai 7000 hingga 9000 USD per tahun sesuai harapan Dahlan. Serta sejumlah program belum terlaksana. ""Karena itu saya menjatuhkan pilihan hari ini kepada Pak Prabowo bukan karena mempertimbangkan nasib saya selama lima tahun terakhir, kalau itu saya anggap risiko saya sebagai pengabdi seperti risiko Pak Jokowi menjadi presiden difitnah selama 4,5 tahun bahkan seperti juga seperti Pak Prabowo difitnah selama 17 tahun,"" kata Dahlan. Mantan Dirut PLN tersebut pun bercerita pada lima tahun lalu para pimpinan Dahlanis se-Indonesia berkumpul untuk mengambil sikap apakah memihak Jokowi atau Prabowo. ""Waktu itu sebenernya keputusan terbanyak memihak ke Pak Prabowo tetapi saya veto kita harus memihak Pak Jokowi karena program progam pak Jokowi itu. Nah sekarang tahun ini, ganti saya yang ikut pimpinan pimpinan Dahlanis itu,"" Dahlan memungkasi. Reporter:Â Muhammad Genantan Saputra",Negatif
17,"Jawab Pembangunan Ekonomi Keluarga, Jokowi Pamer Program Mekaar","Liputan6.com, Jakarta - Capres petahana Jokowi membeberkan sejumlah program pemberdayaan perempuan dalam membangun perekonomian keluarga. Salah satu yang disebut yaiti program Membina EKonomi Keluarga Sejahtera (Mekaar). Jokowi mengatakan, melalui program itu, pemerintah dapat langsung memberi akses keuangan ke berbagai masyarakat termasuk kelompok para ibu yang berpotensi menjadi pendukung ekonomi keluarga. ""Program Mekaar ini memberikan pinjaman kepada ibu-ibu, penjualÂ  bakso,dan intinya memberikan kemudahan dalam akses pinjaman. pinajamn sekitar Rp 3 juta, Rp 4 juta, kalau lebih dari Rp 10 juta, kita berikan ke KUR (kredit usaha rakyat), dan ini ada pendampingan,"" ucap Jokowi dalam debat Pilpres kelima di Hotel Sultan, Jakarta, Sabtu (13/4/2019). Jokowi mengatakan saat ini telah ada lebih dari 4,2 juta nasabah. Program ini diharapkan meningkatkan ekonomi untuk kategori masyarakat pra sejahtera. Sekitar 100 persenÂ nasabah Mekaar adalah masyarakat prasejahtera. Selain program Mekaar, Jokowi juga memamerkan prorgam Bank Wakaf Mikro. ""Bank Wakaf Mikro ini, 90 persen nasabahnya adalah perempuan. Mereka yang kita beri pinjaman miulai dari Rp 900 ribu, sejuta, Rp 2 juta. Kami yakin program ini mampu membangun perekonomian mikro keluarga,"" ucap dia.",Negatif
18,Prabowo: Industri Indonesia Kesalahan Besar Presiden-Presiden Sebelum Jokowi,"Liputan6.com, Jakarta - Calon Presiden 02 Prabowo Subianto menyampaikan, deindustrialisasi bangsa Indonesia perlu dilakukan segera demi menutupi kesalahan para pemimpin sebelum masa pemerintahan Joko Widodo atau Jokowi. ""Belajar baik dan berani merencanakan pembangunan deindustrialisasi, ciptakan lapangan kerja, lindungi petani dan nelayan kita. Ini kesalahan besar presiden-presiden sebelum bapak (Jokowi), kita semua harus bertanggung jawab. Benar, itu pendapat saya,"" tutur Prabowo dalam debat pilpres 2019 di hotel Sultan, Jakarta, Sabtu (13/4/2019). Prabowo menyatakan, dia tidak menyalahkan Jokowi dalam upayanya melakukan perbaikan demi kesejahteraan rakyat. Hanya saja, Jokowi harus berkaca bahwa ada cara yang salah saat menjalankan program pilihannya. ""Jadi kembali lagi saya terus terang saja tidak menyalahkan Pak Jokowi. Ini masalah kesalahan kita sebagai bangsa dan sudah berlangsungÂ belasan, puluhan tahun, tapi harus berani mengoreksi diri. Kita salah jalan,"" jelas dia. Indonesia, lanjut Prabowo, harus mencontoh Republik Rakyat Tiongkok yang berupaya menghilangkan kemiskinan selama 40Â  tahun. ""Berani belajar dari yang hebat. Ini kesalahan kita semua. Jadi kita nih salah jalan. Harus kembali ke UU 45 Pasal 33,"" Prabowo menandaskan.",Negatif
19,Prabowo-Sandi unggul di TPS Wali Kota Mataram,"Mataram (ANTARA) - Pasangan Calon Presiden dan Wakil Presiden nomor urut dua H Prabowo Subianto-H Sandiaga Salhuddin Uno berhasil unggul di tempat pemungutan suara (TPS) 13 Kelurahan Dasan Agung, Kota Mataram, Nusa Tenggara Barat, Rabu.  TPS 13 ini merupakan TPS tempat Wali Kota Mataram H Ahyar Abduh menyalurkan hak pilihnya dalam pemilihan presiden dan pemilu legislatif pada 17 April 2019.  Ketua Kelompok Penyelenggara Pemungutan Suara (KPPS) TPS 13 Alfian Nurhadi mengatakan, total suara masuk pada TPS 13 sebanyak 201 dari total pemilih tercatat 206 orang.  ""Dari 201 suara masuk, perolehan suara untuk pasangan Calon Presiden dan Wakil Presiden nomor urut dua Prabowo-Sandi mendominasi dengan 170 suara,"" katanya.  Sementara Pasangan Calon Presiden dan Wakil Presiden nomor urut satu Ir H Joko Widodo-Prof. Dr. (H.C) KH. Ma'ruf Amin meraih 38 suara dan tiga suara tidak sah.  Dia mengatakan, proses penghitungan suara dilakukan mulai pukul 14.00 WITA, dengan surat suara yang pertama dibaca adalah surat suara calon presiden, disaksikan oleh semua petugas dan saksi dari masing-masing pasangan capres dan cawapres.  ""Alhamdulillah proses penghitungan suara berjalan aman dan lancar. Penghitungan untuk calon anggota DPD dan legislatif dilanjutkan hingga malam,"" ujarnya.  Dari hasil pantuan, pasangan Calon Presiden dan Wakil Presiden nomor urut dua Prabowo-Sandi tidak hanya di TPS 13, tetapi rata-rata unggul di sejumlah TPS di Kota Mataram.  Seperti TPS 12 Kecamatan Selaparang mencatat Prabowo-Sandi berhasil meraih suara 154, sedangkan Jokowi-Amin meraih 37 suara.  Begitu juga dengan di TPS 11 Kelurahan Dasan Agung, pasangan Prabowo-Sandi ungguli pasangan Jokowi-Amin dengan perolehan suara 172 sedangkan pasangan Jokowi-Amin hanya meraih 31 suara.*",Positif
20,Jokowi-Ma'ruf Unggul Jauh di TPS Lokasi Airlangga Mencoblos,"Joko Widodo (Jokowi)-Ma'ruf Amin unggul jauh atas Prabowo Subianto-Sandiaga Uno dalam penghitungan suara di TPS lokasi Ketua Umum Golkar Airlangga Hartarto mencoblos. Jokowi-Ma'ruf mendapatkan 144 suara. Sementara itu, Prabowo-Sandi mendapatkan 40 suara. Sementara itu ada tiga surat suara yang tidak sah.Penghitungan suara untuk Pilpres berlangsung cukup panjang, yakni 7 jam. Sebab ada satu surat suara pilpres yang 'nyasar' ke kotak surat suara DPD.Sementara untuk pemilihan legislatif (pileg) Golkar keok dari PDIP di level DPRD DKI Jakarta dan DPR RI. Pada penghitungan C1 Plano untuk DPRD DKI, Golkar mendapatkan 15 suara yang berasal dari coblosan pada partai maupun caleg. Sedangkan untuk DPR RI, golkar mendapatkan 17 suara.Sementara itu, PDIP memperoleh 59 suara untuk DPRD DKI dan 52 suara untuk DPR RI.""Ada 173 surat suara tercoblos untuk DPRD, dan 4 surat suara tidak sah. Yang DPR 176 surat suara tercoblos, dan yang tidak sah 4,"" ujar Ketua KPPS 005 Melawai, Saskia Ubaidi, di lokasi, Kebayoran Baru, Jakarta Selatan, Rabu (17/4/2019).  Di TPS yang lokasinya ada di seberang kediaman Airlangga ini, total ada 276 orang yang masuk daftar pemilih tetap (DPT). Namun hanya 189 orang yang menggunakan hak suaranya.",Positif
21,Saat Jokowi Digandeng Anak-Anak Papua Lihat Sekolah Terdampak Banjir,"JAYAPURA â Presiden Joko Widodo (Jokowi) meninjau area terdampak banjir bandang di Desa Kemiri, Distrik Hinekombe, Papua, Senin (1/4). Dalam kunjungan itu, sejumlah anak-anak menggandeng Jokowi untuk menengok sekolahnya yang rusak akibat banjir.âBerkaitan dengan sekolah, ini teriak-teriak sekolahnya di SMP 2. Kita segera perbaiki sekolahnya dan dibersihkan, besok langsung dikerjakan ya anak-anak,â kata Jokowi seusai meninjau SDN Inpres Kemiri.Saat mengunjungi sekolah tersebut, anak-anak di sana tampak antusias dan gembira menyambut orang nomor satu di Indonesia tersebut. Jokowi pun menyempatkan diri untuk berdialog dengan mereka.Dalam salah satu percakapan, Jokowi bertanya kepada anak-anak siapa saja yang bersekolah di sekolah tersebut. Mereka pun serentak mengacungkan jari.Jokowi pun sempat bertanya siapa di antara mereka yang ingin ikut ke Jakarta. Semua anak-anak itu pun sekali lagi mengacungkan jarinya serentak. âSaya kira enggak mau, (ternyata) mau (ikut ke Jakarta). Belajar semua dulu,â ucapnya.Selain memperbaiki sekolah, Jokowi mengatakan telah menginstruksikan Kementerian Pekerjaan Umum dan Perumahan Rakyat untuk membangun tanggul dan dam. Hal itu guna mencegah terjadinya banjir di daerah tersebut. (MDS01)",Positif
22,Erick Thohir Sebut Pernyataan Prabowo Singgung Soeharto dan SBY,"Liputan6.com, Jakarta - Ketua Tim Kampanye Nasional (TKN) Jokowi-Amin, Erick Thohir menyangkan pernyataan Prabowo Subianto yang menyinggung kinerja presiden sebelum Jokowi saat debat kelima tadi. ""Kami melihat sangat disayangkan karena berarti Pak Harto juga kena. Berarti Pak SBY juga kena,"" ucap Erick, Sabtu (13/4/2019). Saat debat, Prabowo menyampaikan, deindustrialisasi bangsa Indonesia perlu dilakukan segera demi menutupi kesalahan para pemimpin sebelum masa pemerintahan Joko Widodo atau Jokowi. Erick mengatakan, kekurangan dan kelebihan pemimpin itu hal yang biasa. Pemimpin pun harus melihat kelebihannya, bukan kekurangan. ""Sejarah Indonesia itu dibangun karena kepemimpinan beliau-beliau semua. Dari zaman Pak Soekarno sampai hari ini. Jadi kalau saya melihat itu saja,"" ujar dia. Karenanya, Erick kurang sependapat dengan Prabowo ketika menyebut mendeskriditkan presiden-presiden sebelumnya. ""Kami melihat sangat disayangkan,"" tandas dia.",Negatif
23,Saat Pidato Bung Tomo Menggema dalam Pidato Kebangsaan Prabowo di Surabaya,"Liputan6.com, Jakarta - Calon Presiden (Capres) Prabowo Subianto menghadiri acara pidato kebangsaan yang digelar di Surabaya, Jawa Timur. Dihadapan ribuan kader dan simpatisan capres nomor urut 02, Prabowo memperdengarkan pidato Bung Tomo. ""Saudara-saudara, seolah-olah Bung Tomo bicara kepada kita 'jangan tunduk kepada ketidakadilan. Jangan tunduk kepada penzaliman, jangan mau diintimidasi dan dibohongi,"" kata Prabowo, Jumat (12/4/2019). Prabowo memastikan perjuangan menuju Indonesia adil makmur sudah berada di rel yang benar. Ketua Umum Partai Gerindra ini meyakini, perjuangan rakyat untuk Indonesia menang diridhoi Tuhan Yang Maha Esa. ""Kita berada di jalan yang benar. Kita membela kejujuran, kebenaran dan keadilan. Kita yakin Tuhan Yang Maha Besar akan bersama kita,"" ucap Prabowo. Dalam pidato yang diperdengarkan, Bung Tomo mengingatkan bahwa kemerdekaan Republik Indonesia adalah hasil perjuangan semua kalangan masyarakat tanpa membedakan suku, agama.",Negatif
24,Ma'ruf gelar pengajian bersama keluarga syukuri kelancaran pemilu,"Jakarta (ANTARA) - Cawapres RI Ma'ruf Amin menggelar pengajian bersama di kediaman Rumah Situbondo, Menteng, Jakarta, Rabu malam, sebagai rasa syukur atas kelancaran penyelenggaraan pemilu.  Menurut Koordinator Media Tim Kampanye Nasional Jokowi-Ma'ruf Amin, Monang Sinaga pengajian itu dihadiri putra-putri serta sanak keluarganya.  ""Abah (Ma'ruf) melakukan pengajian di rumahnya bersama keluarga inti, sebagai rasa syukur pemilu berjalan lancar,"" kata Monang di Jakarta, Rabu malam.  Monang mengatakan pengajian itu bukan bentuk perayaan atas hasil hitung cepat pemilu yang ditunjukkan sejumlah lembaga survei yang menunjukkan kemenangan Jokowi-Ma'ruf.  ""Ini pengajian sederhana saja. Abah kan tadi sudah mengatakan tidak ada perayaan,"" kata dia.  Sebelumnya Ma'ruf telah bertemu capres petahana Jokowi dan pimpinan partai pengusung dan pendukungnya di Djakarta Teather.  Mereka menyaksikan proses hitung cepat pemilu bersama, tanpa adanya euforia berlebihan.",Positif
25,"Tak Kooperatif, Bawaslu Akan Panggil Kembali Tim Kampanye Prabowo Sulsel","INIPASTI.COM, MAKASSAR, â Badan Pemenangan Daerah (BPD) Prabowo Subianto-Sandiaga Salahuddin Uno Sulawesi Selatan sudah terhitung satu kali mangkir dari panggilan Badan Pengawas Pemilu (Bawaslu) Kota Makassar.Bawaslu telah melayangkan surat panggilan kedua untuk mengklarifikasi dugaan pelanggaran yang ditemukan saat kampanye akbar Prabowo Subianto di Lapangan Karebosi, Makassar, 24 Maret lalu.Panggilan terhadap penanggungjawab kampanye ini atas dua dugaan pelanggaran yakni melibatkan anak-anak dan menggunakan atribut diluar parpol pengusung.âAda dua dugaan pelanggaran, kita sudah mengundang pertama tapi tidak hadir, kita akan memanggil hari Senin (8 Maret),â ungkap Ketua Bawaslu Makassar, Nursari saat di Kantor Bawaslu Makassar, Jalan Anggrek Raya, Jumat 5 April 2019.Diketahui, pemeriksaan pertama untuk BPD Prabowo-Sandi Sulsel dijadwalkan pada 1 April lalu. Hanya saja, tim pemenangan Prabowo-Sandi Sulsel tak koorperatif karena mangkir dari panggilan tersebut.âHarapan kami mereka kooperatif untuk menghadiri undangan kami,â pungkas Nursari.(Muh. Seilessy)",Negatif
26,Prabowo-Sandi unggul jauh di sekitar kediaman UAS,"Untuk keseluruhan, pasangan nomor urut 02 unggul jauh dibanding 01								Pekanbaru (ANTARA) - Pasangan Calon Presiden dan Wakil Presiden Prabowo Subianto-SandiagaÂ Salahudin Uno unggul telak di empat tempat pemungutan suara (TPS) di sekitar kediaman Ustaz Abdul SomadÂ (UAS), RT 04/RW 27 Kelurahan Sialang Munggu, Kecamatan Tampan, Kota Pekanbaru, Provinsi Riau.  Berdasarkan pantauan Antara di empat TPS, Rabu petang, empat TPS masing-masing 51, 80, 79 dan 52 telah menyelesaikan hasil perhitungan suara. Hasilnya, total Prabowo-Sandi berhasil meraup total hingga 425 suara, sementara pasangan calon nomor urut 01 Joko Widodo-Maaruf Amin 83 suara.  Rinciannya, TPS 51 untuk pasangan nomor 01 meraih 30 suara sementara pasangan nomor urut 02 meraup 110 suara. Kemudian TPS 80 l, suara untuk 01 adalah 36 dan suara untuk 02 mencapai 112. Keunggulan juga diraih pada TPS 79 yaitu untuk 01 sebanyak 31 suara dan pasangan 02 sebanyak 128 suara.  Sementara pada TPS 52, pasangan Prabowo Sandi kalah tipis dibanding Jokowi-Ma'aruf masing-masing 75 suara berbanding 85 suara.  ""Untuk keseluruhan, pasangan nomor urut 02 unggul jauh dibanding 01,"" kata Ketua RT 04 Lia Novita ditemui Antara usai perhitungan suara.  Meski memiliki rumah dan aktif bermasyarakat di wilayah tersebut, UAS sendiri tidak memilih pada salah satu dari empat TPS di atas. Kediaman UAS tampak kosong dengan pagar tertutup.  Lia mengakui bahwa UAS memang tidak terdaftar dalam DPT di wilayah setempat. Secara administrasi, dia mengakui bahwa UAS tidak terdaftar sebagai warga RT 04 RW 27.  ""Memang benar beliau sering di sini. Beliau juga pengurus aktif Masjid Ibadurrahman (masjid yang berada tidak jauh dari rumah UAS). Namun secara administrasi bukan warga sini sehingga tidak masuk dalam DPT,"" ujarnya.  Lia menngatakan rumah tersebut selama ini ditempati almarhum ibunda UAS, Rohana yang wafat pada medio Maret 2019 lalu. Saat ibunda masih hidup, dia mengatakan UAS setiap hari memang berada di sana sehingga masyarakat mengetahui rumah itu juga merupakan kediaman UAS.  Hanya saja, dia mengatakan ustaz sejuta umat tersebut tidak terdaftar sebagai warganya.  Selain itu, dia juga mengatakan beberapa pekan terakhir UAS tidak berada di rumah tersebut. ""Dari informasi warga dalam beberapa pekan terakhir tidak ada. Apalagi sejak ibundanyaÂ wafat,"" lanjutnya.",Negatif
27,"Hasil hitung cepat Populi masuk 91 persen, Jokowi-Ma'ruf unggul","Hasil ini sudah tergolong relatif stabil sejak 60 persen data masuk, artinya hingga 100 persen data nanti angka ini tidak akan terlalu banyak bergeser								Jakarta (ANTARA) - Hasil hitung cepat lembaga survei Public Opinion and Policy Research (Populi) telah terdata hingga 93 persen pada pukul 19.32 WIB, dan menunjukkan Jokowi-Ma'ruf Amin unggul di angka 54,06 persen, sementara itu pasangan Prabowo-Sandiaga memperoleh angka 45,94 persen.  ""Hasil ini sudah tergolong relatif stabil sejak 60 persen data masuk, artinya hingga 100 persen data nanti angka ini tidak akan terlalu banyak bergeser,"" ujar Direktur Eksekutif Populi Hikmat Budiman di kantor Populi di Jakarta, Rabu.  Hikmat menyebutkan berdasarkan hasil hitung cepat oleh beberapa lembaga survei nasional, angka besar hasil hitung cepat menunjukkan 54 persen hingga 55 persen unggul untuk Jokowi-Ma'ruf.  ""Bila hitung cepat dilakukan dengan metode yang benar meskipun berbeda, maka hasilnya akan mirip, bahkan dengan hasil rekapitulasi KPU,"" jelas Hikmat.  Hikmat mengatakan berdasarkan Pemilu 2014, hasil hitung cepat beberapa lembaga survei nyaris sama dengan hasil rekapitulasi KPU, karena lembaga-lembaga survei ini menggunakan metode yang benar.  ""Dengan metode sampling yang baik dan benar serta dapat dipertanggungjawabkan maka hasilnya tidak akan terlalu jauh dengan hasil resmi KPU. Kalaupun berbeda hanya pada poin-poin kecil saja,"" ujarnya.  Hikmat kemudian memberi analogi bahwa hitung cepat dengan metode yang benar, sama seperti mencicipi satu sendok sup dari sebuah kuali besar.  ""Kalau kita mau merasakan sayur sup satu panci, maka untuk mencicipi tidak perlu mencicipi satu panci karena satu sendok pun rasanya sama,"" tutur Hikmat.  Kendati demikian Hikmat mengimbau masyarakat untuk tidak menjadikan hasil hitung cepat sebagai acuan, karena hasil resmi hanya berasal dari KPU sebagai lembaga negara penyelenggara Pemilu.  ""Tapi harus diingat hitung cepat ini bukanlah survei, karena kami mengambil data dari TPS hasil pemilihan bukan menjadikan orang sebagai responden. Ini adalah hasil berupa angka dari TPS,"" teas Hikmat.",Positif
